"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"1546","Gordon College","Wenham","MA","1984",2,"0.8889","1189","36740","36740","1573",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1547","Gordon-Conwell Theological Seminary","South Hamilton","MA","1982",2,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1548","Greenfield Community College","Greenfield","MA","01301-9739",1,"NULL","NULL","5450","11570","1551",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0711"
"1549","Hampshire College","Amherst","MA","01002-5001",2,"0.6282","NULL","51608","51608","1264",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1550","Harvard University","Cambridge","MA","2138",2,"0.0516","1523","48949","48949","7532",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1551","Hebrew College","Newton Centre","MA","02459-2237",2,"NULL","NULL","NULL","NULL","1",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1552","Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","MA","02445-7415",2,"1","1142","22490","22490","77",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1553","College of the Holy Cross","Worcester","MA","01610-2395",2,"0.396","NULL","50630","50630","2827",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1554","Holyoke Community College","Holyoke","MA","1040",1,"NULL","NULL","4662","9606","5059",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0702"
"1555","Lasell College","Newton","MA","2466",2,"0.8072","1069","34600","34600","1696",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1556","Lawrence Memorial Hospital School of Nursing","Medford","MA","2155",2,"NULL","NULL","27655","27655","281",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","1"
"1557","Lesley University","Cambridge","MA","02138-2790",2,"0.7261","1123","26675","26675","2074",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1558","Longy School of Music of Bard College","Cambridge","MA","2138",2,"0.9333","NULL","40780","40780","46",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1559","Lowell Academy Hairstyling Institute","Lowell","MA","01852-1909",3,"NULL","NULL","NULL","NULL","92",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6786"
"1560","University of Massachusetts-Lowell","Lowell","MA","01854-5104",1,"0.6883","1227","14800","31865","13284",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1561","Mansfield Beauty Schools-Springfield","Springfield","MA","1103",3,"NULL","NULL","NULL","NULL","21",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1111"
"1562","Mansfield Beauty Schools-Quincy","Quincy","MA","2169",3,"NULL","NULL","NULL","NULL","35",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1563","University of Massachusetts-Amherst","Amherst","MA","1003",1,"0.5758","1288","15411","33477","23010",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1564","University of Massachusetts-Boston","Boston","MA","02125-3393",1,"0.7515","1134","13828","32985","12159",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1565","Massachusetts Bay Community College","Wellesley Hills","MA","02481-5399",1,"NULL","NULL","5088","10032","3736",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0802"
"1566","MCPHS University","Boston","MA","02115-5896",2,"0.8386","1169","32590","32590","3837",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1567","Massachusetts College of Art and Design","Boston","MA","02115-5882",1,"0.7066","NULL","12700","34400","1812",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1568","Massachusetts Institute of Technology","Cambridge","MA","02139-4307",2,"0.0717","1532","49892","49892","4489",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1569","Massachusetts Maritime Academy","Buzzards Bay","MA","02532-1803",1,"0.8317","1122","8398","25824","1627",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1570","University of Massachusetts Medical School Worcester","Worcester","MA","1655",1,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1571","William James College","Newton","MA","2459",2,"NULL","NULL","NULL","NULL","5",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1572","Massachusetts School of Barbering","Quincy","MA","2169",3,"NULL","NULL","NULL","NULL","61",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.25"
"1573","Massasoit Community College","Brockton","MA","02302-3996",1,"NULL","NULL","4680","9624","6035",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0505"
"1574","Merrimack College","North Andover","MA","1845",2,"0.8154","NULL","40190","40190","3404",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1575","MGH Institute of Health Professions","Boston","MA","02129-4557",2,"NULL","NULL","NULL","NULL","195",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1576","Middlesex Community College","Bedford","MA","01730-9124",1,"NULL","NULL","4802","9746","7183",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0758"
"1577","Montserrat College of Art","Beverly","MA","01915-4508",2,"NULL","NULL","32000","32000","359",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1578","Mount Holyoke College","South Hadley","MA","01075-1489",2,"0.5084","1393","47940","47940","2186",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1579","Mount Ida College","Newton","MA","2459",2,"0.7488","NULL","35720","35720","1520",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1580","Mount Wachusett Community College","Gardner","MA","01440-1000",1,"NULL","NULL","5428","10348","3410",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0616"
"1581","Rob Roy Academy-New Bedford","New Bedford","MA","02720-3445",3,"NULL","NULL","NULL","NULL","16",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2381"
"1582","The New England Conservatory of Music","Boston","MA","02115-5018",2,"0.3281","NULL","46930","46930","413",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1583","New England College of Optometry","Boston","MA","2115",2,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1584","New England Law-Boston","Boston","MA","2116",2,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1585","New England School of Photography","Waltham","MA","2453",3,"0.7377","NULL","24200","24200","71",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6216"
"1586","Newbury College","Brookline","MA","2445",2,"0.7541","NULL","34470","34470","620",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1587","Nichols College","Dudley","MA","01571-5000",2,"0.925","NULL","34000","34000","1308",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1588","Massachusetts College of Liberal Arts","North Adams","MA","01247-4100",1,"0.7663","1085","10135","19080","1364",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1589","North Bennet Street School","Boston","MA","2109",2,"NULL","NULL","NULL","NULL","154",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8095"
"1590","North Shore Community College","Danvers","MA","01923-0840",1,"NULL","NULL","4944","10512","5514",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0651"
"1591","Northeastern University","Boston","MA","02115-5005",2,"0.2744","1482","49497","49497","13666",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1592","Northern Essex Community College","Haverhill","MA","01830-2399",1,"NULL","NULL","4992","10776","5133",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0604"
"1593","College of Our Lady of the Elms","Chicopee","MA","1013",2,"0.7949","1033","34578","34578","1142",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1594","Pine Manor College","Chestnut Hill","MA","2467",2,"0.5119","NULL","30860","30860","255",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1595","Pope St John XXIII National Seminary","Weston","MA","02493-2699",2,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1596","Quincy College","Quincy","MA","2169",1,"NULL","NULL","6306","6306","4634",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0516"
"1597","Quinsigamond Community College","Worcester","MA","01606-2092",1,"NULL","NULL","5538","10482","6584",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0737"
"1598","Regis College","Weston","MA","02493-1571",2,"0.8163","NULL","39820","39820","965",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1599","Roxbury Community College","Roxbury Crossing","MA","02120-3400",1,"NULL","NULL","4424","9728","1834",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0208"
"1600","Saint John's Seminary","Brighton","MA","02135-3846",2,"NULL","NULL","NULL","NULL","23",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1601","Salem State University","Salem","MA","1970",1,"0.8191","1066","10278","16706","6776",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1602","Salter College-West Boylston","West Boylston","MA","1583",3,"NULL","NULL","NULL","NULL","104",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3072"
"1603","Simmons University","Boston","MA","02115-5898",2,"0.6044","1227","39600","39600","1708",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1604","Bard College at Simon's Rock","Great Barrington","MA","01230-9702",2,"0.6609","NULL","53418","53418","391",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1605","Smith College","Northampton","MA","1063",2,"0.3187","NULL","50044","50044","2519",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1606","Southeastern Technical Institute","South Easton","MA","2375",1,"0.3882","NULL","NULL","NULL","129",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6897"
"1607","Springfield College","Springfield","MA","01109-3797",2,"0.6989","1148","36535","36535","2204",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1608","Springfield Technical Community College","Springfield","MA","01105-1296",1,"NULL","NULL","6066","12576","4837",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0785"
"1609","University of Massachusetts-Dartmouth","North Dartmouth","MA","02747-2300",1,"0.8427","1097","13571","28285","6559",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1610","Stonehill College","Easton","MA","02357-6110",2,"0.7212","NULL","41300","41300","2494",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1611","Suffolk University","Boston","MA","02108-3901",2,"0.8355","1102","37270","37270","4952",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1612","Rob Roy Academy-Taunton","Taunton","MA","02780-5339",3,"NULL","NULL","NULL","NULL","26",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1852"
"1613","Tufts University","Medford","MA","02155-5555",2,"0.1491","1482","54318","54318","5492",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1614","Wellesley College","Wellesley","MA","02481-8203",2,"0.2208","1448","51148","51148","2375",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1615","Wentworth Institute of Technology","Boston","MA","2115",2,"0.9187","1181","34977","34977","4204",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1616","Western New England University","Springfield","MA","01119-2684",2,"0.8071","1096","35740","35740","2723",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1617","Westfield State University","Westfield","MA","01086-1630",1,"0.8525","1064","9715","15795","5375",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1618","Wheaton College","Norton","MA","02766-2322",2,"0.4789","1270","50850","50850","1678",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1619","Wheelock College","Boston","MA","2215",2,"0.7726","879","36350","36350","603",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1620","Williams College","Williamstown","MA","1267",2,"0.1458","1493","53550","53550","2033",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1621","Worcester Polytechnic Institute","Worcester","MA","01609-2280",2,"0.4849","NULL","48628","48628","4337",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1622","Worcester State University","Worcester","MA","01602-2597",1,"0.7633","NULL","9532","15612","5035",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1623","Adrian College","Adrian","MI","49221-2575",2,"0.5973","1070","36010","36010","1609",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1624","Albion College","Albion","MI","49224",2,"0.706","1123","43050","43050","1558",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1625","Hillsdale Beauty College","Hillsdale","MI","49242",3,"NULL","NULL","NULL","NULL","23",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0741"
"1626","Northwestern Technological Institute","Southfield","MI","48075",3,"NULL","NULL","NULL","NULL","603",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4545"
"1627","Alma College","Alma","MI","48801-1599",2,"0.64","1140","38768","38768","1392",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1628","Alpena Community College","Alpena","MI","49707",1,"NULL","NULL","4410","6630","1067",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1629","Andrews University","Berrien Springs","MI","49104",2,"0.5766","1203","28436","28436","1439",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1630","Aquinas College","Grand Rapids","MI","49506-1801",2,"0.7451","1143","31244","31244","1434",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1631","Baker College","Flint","MI","48507-5508",2,"NULL","NULL","9360","9360","11431",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1632","Bay de Noc Community College","Escanaba","MI","49829-2511",1,"NULL","NULL","4638","8958","1386",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1315"
"1633","Bayshire Academy of Beauty Craft Inc","Bay City","MI","48708-5614",3,"NULL","NULL","NULL","NULL","37",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6364"
"1634","Cadillac Institute of Cosmetology","Cadillac","MI","49601",3,"NULL","NULL","NULL","NULL","18",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5"
"1635","Calvin College","Grand Rapids","MI","49546",2,"0.8348","1243","33100","33100","3656",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1636","Calvin Theological Seminary","Grand Rapids","MI","49546-4387",2,"NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1637","Carnegie Institute","Troy","MI","48083",3,"NULL","NULL","13290","13290","167",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.75"
"1638","Michigan School of Psychology","Farmington Hills","MI","48334-4512",2,"NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1639","Central Michigan University","Mount Pleasant","MI","48859",1,"0.6775","1125","12510","23670","17489",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1640","Mott Community College","Flint","MI","48503-2089",1,"NULL","NULL","3996","6968","6290",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0539"
"1641","Empire Beauty School-Michigan","Grand Rapids","MI","49544",3,"NULL","NULL","NULL","NULL","263",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1642","Cleary University","Howell","MI","48843",2,"0.4774","1017","19700","19700","519",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1643","Concordia University-Ann Arbor","Ann Arbor","MI","48105",2,"0.4569","1085","28420","28420","815",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1644","Cranbrook Academy of Art","Bloomfield Hills","MI","48304",2,"NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1645","College for Creative Studies","Detroit","MI","48202",2,"0.4899","1149","42460","42460","1347",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1646","Davenport University","Grand Rapids","MI","49512-9396",2,"0.8192","NULL","17558","17558","5030",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1647","David Pressley School of Cosmetology","Royal Oak","MI","48067-3219",3,"NULL","NULL","NULL","NULL","231",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0294"
"1648","Delta College","University Center","MI","48710",1,"NULL","NULL","3800","10910","7291",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0542"
"1649","Detroit Business Institute-Downriver","Riverview","MI","48193",3,"NULL","NULL","NULL","NULL","44",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.75"
"1650","Michigan State University-College of Law","East Lansing","MI","48824-1300",2,"NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1651","MIAT College of Technology","Canton","MI","48188",3,"0.9862","NULL","15917","15917","700",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.428"
"1652","University of Detroit Mercy","Detroit","MI","48221-3038",2,"0.6471","1163","41158","41158","2674",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1653","Dorsey Business Schools-Madison Heights","Madison Heights","MI","48071",3,"NULL","NULL","20472","20472","358",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4545"
"1654","Dorsey Business Schools-Southgate","Southgate","MI","48195",3,"NULL","NULL","20472","20472","109",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2424"
"1655","Eastern Michigan University","Ypsilanti","MI","48197",1,"0.4474","1046","12019","29200","16536",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1656","Creative Hair School of Cosmetology","Flint","MI","48507",3,"NULL","NULL","NULL","NULL","25",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1657","Ferris State University","Big Rapids","MI","49307-2251",1,"0.7416","1069","11628","18588","11549",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1658","Flint Institute of Barbering Inc","Flint","MI","48504-4395",3,"0.7895","NULL","NULL","NULL","42",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1659","Glen Oaks Community College","Centreville","MI","49032-9719",1,"NULL","NULL","3384","5712","667",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1565"
"1660","Kettering University","Flint","MI","48504-6214",2,"0.7033","1270","42490","42490","1850",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1661","Gogebic Community College","Ironwood","MI","49938",1,"NULL","NULL","4739","7188","758",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1517"
"1662","Grace Christian University","Wyoming","MI","49509",2,"0.6411","NULL","11569","11569","834",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1663","Cornerstone University","Grand Rapids","MI","49525-5897",2,"0.6737","1069","27520","27520","1681",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1664","Grand Rapids Community College","Grand Rapids","MI","49503-3295",1,"NULL","NULL","3487","10081","12597",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0488"
"1665","Grand Valley State University","Allendale","MI","49401-9403",1,"0.809","1150","11994","17064","21837",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1666","Great Lakes Christian College","Lansing","MI","48917-1299",2,"NULL","NULL","15550","15550","129",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1667","Henry Ford College","Dearborn","MI","48128-1495",1,"NULL","NULL","3014","6470","10935",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1668","Hope College","Holland","MI","49422-9000",2,"0.7363","1240","32780","32780","3029",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
