"X1","Date","AveragePrice","Total Volume","4046","4225","4770","Total Bags","Small Bags","Large Bags","XLarge Bags","type","year","region"
22,2016-07-24,1.75,103128.79,3832.04,54656.68,5019.61,39620.46,32405.39,7215.07,0,"organic",2016,"Midsouth"
51,2016-01-03,1.13,502583.68,349992.75,44399.13,40.78,108151.02,64404.45,43746.57,0,"conventional",2016,"MiamiFtLauderdale"
50,2017-01-15,1.43,284386.03,4665.17,223678.05,7893.25,48149.56,46455.74,1319.66,374.16,"conventional",2017,"HartfordSpringfield"
46,2016-02-07,0.69,593759.78,307135.68,151185.73,13083.51,122354.86,61003.56,61340.53,10.77,"conventional",2016,"SouthCarolina"
2,2016-12-11,1.37,3471.8,13.41,28.39,0,3430,3430,0,0,"organic",2016,"MiamiFtLauderdale"
9,2018-01-21,1.6,18364.37,678.73,5179.83,0,12505.81,2688.54,9817.27,0,"organic",2018,"CincinnatiDayton"
26,2016-06-26,1.03,2101835.6,1040820.26,490842.47,9370.21,560802.66,510422.91,25086.66,25293.09,"conventional",2016,"Plains"
47,2015-02-01,1.67,30193.16,3904.24,14499.51,32.15,11757.26,9989.22,1768.04,0,"organic",2015,"Plains"
4,2017-12-03,1.01,315521,66925,127968,4488,116140,47447,68396,297,"conventional",2017,"LasVegas"
23,2016-07-17,0.97,3092234,1201992.39,630743.25,84008.42,1175489.94,1079717.14,73173.55,22599.25,"conventional",2016,"LosAngeles"
16,2016-09-04,1.29,106844.47,13910.17,28437.88,0,64496.42,62061.45,2434.97,0,"organic",2016,"LosAngeles"
9,2016-10-23,1.4,2998.64,352.97,95.3,1.18,2549.19,0,2549.19,0,"organic",2016,"Jacksonville"
44,2017-02-26,1.42,20055.23,1099.33,10427.06,0,8528.84,3657.65,4871.19,0,"organic",2017,"SanDiego"
9,2015-10-25,1.02,180316.1,68613.89,70131.72,13184.36,28386.13,27568.35,817.78,0,"conventional",2015,"RichmondNorfolk"
23,2015-07-19,1.46,4349,432.54,2342.56,0,1573.9,26.67,1547.23,0,"organic",2015,"Columbus"
30,2017-06-04,1.49,687913.86,449727.4,85907.47,238.92,152040.07,84992.72,64412.35,2635,"conventional",2017,"MiamiFtLauderdale"
46,2016-02-07,1.41,2672.99,305.99,0,0,2367,2367,0,0,"organic",2016,"NewOrleansMobile"
0,2015-12-27,1.82,862.59,9.98,690.02,0,162.59,60,102.59,0,"organic",2015,"Louisville"
39,2016-03-27,1.65,17017.63,1397.56,7193.83,301.19,8125.05,7020.96,1104.09,0,"organic",2016,"BaltimoreWashington"
11,2017-10-15,1.33,12929.64,158.88,153.55,0,12617.21,12617.21,0,0,"organic",2017,"BuffaloRochester"
32,2017-05-21,1.5,13731.02,551.01,4582.26,0,8597.75,1342.9,7254.85,0,"organic",2017,"Detroit"
39,2016-03-27,0.98,458635.34,286918.4,59289.93,1320.02,111106.99,78824.96,32268.42,13.61,"conventional",2016,"Atlanta"
4,2016-11-27,1.53,36545.5,321.68,9807.21,26.11,26390.5,322.68,26067.82,0,"organic",2016,"Seattle"
30,2017-06-04,1.11,50502.11,10986.31,40.1,0,39475.7,39413.32,62.38,0,"organic",2017,"Houston"
21,2017-08-06,1.44,148237.94,82275.37,12280.16,43.1,53639.31,22133.61,29292.37,2213.33,"conventional",2017,"Jacksonville"
4,2017-12-03,1.62,1119325,99317.88,269450.85,1108.2,749121.8,592524.24,156438.84,158.72,"organic",2017,"TotalUS"
48,2017-01-29,1.08,121203.53,35172.06,5405.54,0,80625.93,76958.46,3667.47,0,"organic",2017,"SouthCentral"
22,2017-07-30,2.37,12594.87,819.66,6870.21,0,4905,4871.67,33.33,0,"organic",2017,"SanDiego"
24,2016-07-10,2.33,9578.06,202.21,3689.57,1.36,5684.92,5684.92,0,0,"organic",2016,"HartfordSpringfield"
13,2016-09-25,1.58,315399.04,23189.93,236472.99,3706.18,52029.94,52018.36,11.58,0,"conventional",2016,"NorthernNewEngland"
5,2016-11-20,1.53,5481.72,603.21,44.54,0,4833.97,2076.66,2757.31,0,"organic",2016,"Orlando"
30,2017-06-04,2.43,6820.7,2184.08,3605.15,0,1031.47,1029.6,1.87,0,"organic",2017,"Sacramento"
4,2017-12-03,1.88,21338.43,39.81,1355.4,0,19943.22,18266.31,1676.91,0,"organic",2017,"Boston"
50,2015-01-11,1.22,43116.44,18893.87,19745.21,0,4477.36,480,3997.36,0,"organic",2015,"Portland"
16,2016-09-04,1.53,51792.9,3545.98,35938.12,23.1,12285.7,12128.93,6.77,150,"conventional",2016,"Syracuse"
9,2017-10-29,1.69,15261.11,132.44,2891.29,66.22,12171.16,10955.01,1216.15,0,"organic",2017,"SouthCarolina"
7,2016-11-06,1.57,142095.92,36840.74,27501.34,25305.86,52447.98,45861.67,6586.31,0,"conventional",2016,"Charlotte"
24,2015-07-12,1.81,9760.46,3360.92,5927.1,0,472.44,472.44,0,0,"organic",2015,"SanDiego"
50,2017-01-15,1.21,7526.04,320.78,60.1,0,7145.16,4763.33,2381.83,0,"organic",2017,"Tampa"
35,2017-04-30,1.18,28118.39,9703.57,38.49,0,18376.33,10563.19,7813.14,0,"organic",2017,"Houston"
0,2015-12-27,1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,"conventional",2015,"SanFrancisco"
11,2016-10-09,1.68,126192.84,30116.28,33882.82,189.03,62004.71,29570.26,32434.45,0,"organic",2016,"West"
20,2015-08-09,2,3813.54,610.36,1768.29,661.17,773.72,707.3,66.42,0,"organic",2015,"SouthCarolina"
45,2017-02-19,1.1,8031.89,990.14,539.15,0,6502.6,828.52,5674.08,0,"organic",2017,"StLouis"
27,2017-06-25,1.95,10089.71,173.53,5355.82,266.79,4293.57,3840.94,452.63,0,"organic",2017,"RaleighGreensboro"
50,2015-01-11,1.83,23690.65,10166.46,4678.19,524.42,8321.58,8164.48,157.1,0,"organic",2015,"Southeast"
16,2016-09-04,1.47,850104.12,203090.38,552428.86,10836.96,83747.92,82334.2,962.33,451.39,"conventional",2016,"SanFrancisco"
1,2018-03-18,0.99,396324.57,73274.02,93954.85,5330.38,223765.32,218181.7,5583.62,0,"conventional",2018,"Charlotte"
12,2016-10-02,1.38,2540672.44,662661.76,965796.82,77380.74,834833.12,709302.35,123116.88,2413.89,"conventional",2016,"Midsouth"
28,2017-06-18,1.25,28462.96,8640.24,2043.28,54.52,17724.92,7228.37,10496.55,0,"organic",2017,"Denver"
6,2016-11-13,1.9,830018.48,12169.08,523321.98,2970.03,291557.39,248573.27,42984.12,0,"conventional",2016,"NewYork"
25,2015-07-05,1.84,1014.02,1.24,64.68,0,948.1,948.1,0,0,"organic",2015,"Syracuse"
4,2018-02-25,1.82,2430.16,69.78,745.69,0,1614.69,472.96,1141.73,0,"organic",2018,"Boise"
28,2015-06-14,1.87,18374.82,502.87,17175.28,0,696.67,696.67,0,0,"organic",2015,"Chicago"
9,2018-01-21,1.04,310587.46,192632.7,23240.42,2212.37,92501.97,79583.19,11776.55,1142.23,"conventional",2018,"NewOrleansMobile"
8,2017-11-05,1.76,145735.09,27876.4,67331.86,0,50526.83,50478.71,48.12,0,"organic",2017,"California"
15,2017-09-17,2.77,8821.08,22.96,4305.79,157.1,4335.23,4168.73,166.5,0,"organic",2017,"Charlotte"
6,2016-11-13,0.94,911367.38,437810.54,189026.34,15106.03,269424.47,106369.01,163055.46,0,"conventional",2016,"PhoenixTucson"
3,2018-03-04,1.69,15349.03,2467.3,3004.72,0,9877.01,9871.72,5.29,0,"organic",2018,"PhoenixTucson"
30,2017-06-04,1.08,710038.58,361265.98,55627.72,130.81,293014.07,174068.36,113270.71,5675,"conventional",2017,"Atlanta"
25,2016-07-03,1.13,111340.2,45145.4,8701.71,0,57493.09,55392.77,2100.32,0,"organic",2016,"SouthCentral"
6,2016-11-13,1.81,892.02,0,67.8,0,824.22,824.22,0,0,"organic",2016,"Syracuse"
41,2015-03-15,1.5,6392.65,76.97,4755.78,0,1559.9,1323.33,236.57,0,"organic",2015,"Roanoke"
33,2015-05-10,1.46,82110.05,2099.7,48280.34,1279.05,30450.96,23419.51,7031.45,0,"conventional",2015,"Pittsburgh"
37,2016-04-10,0.87,354098.37,151862.79,91833.73,6305.12,104096.73,48046.6,56050.13,0,"conventional",2016,"LasVegas"
41,2016-03-13,1.54,19068.45,851.45,8994,281.67,8941.33,5005.66,3935.67,0,"organic",2016,"BaltimoreWashington"
27,2017-06-25,1.53,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.6,1105,"conventional",2017,"Albany"
11,2016-10-09,1.73,23673.82,689.95,9161.72,0,13822.15,4318.59,9503.56,0,"organic",2016,"Seattle"
38,2015-04-05,1.36,159461.64,77970.98,34544.71,67.97,46877.98,46762.42,115.56,0,"conventional",2015,"StLouis"
34,2017-05-07,1.81,14463.73,649.49,5629.42,0,8184.82,441.48,7743.34,0,"organic",2017,"Detroit"
24,2015-07-12,2.13,3962.07,287.98,1458.03,1144.44,1071.62,1071.62,0,0,"organic",2015,"Charlotte"
21,2015-08-02,1.25,417082.92,2279.1,347110.01,1637.61,66056.2,66056.2,0,0,"conventional",2015,"NorthernNewEngland"
25,2017-07-09,1.29,3173372.45,643600.31,1287442.95,27337.2,1214991.99,969121.67,191301.87,54568.45,"conventional",2017,"Midsouth"
22,2017-07-30,1.78,15501.08,431.93,6137.14,0,8932.01,4879.96,4052.05,0,"organic",2017,"Atlanta"
10,2018-01-14,1.46,22637.04,6,211.84,0,22419.2,22419.2,0,0,"organic",2018,"NorthernNewEngland"
50,2015-01-11,1.36,14035.18,11523.29,1632.63,0,879.26,876.68,2.58,0,"organic",2015,"PhoenixTucson"
13,2015-09-27,1.27,92325.73,52301.92,14641.98,1047.02,24334.81,14588.26,9746.55,0,"conventional",2015,"Jacksonville"
13,2016-09-25,1.35,16032.03,468.89,7138.63,0,8424.51,781.74,7642.77,0,"organic",2016,"CincinnatiDayton"
44,2017-02-26,0.77,14724.39,246.43,2759.77,0,11718.19,2299.58,9418.61,0,"organic",2017,"Roanoke"
7,2018-02-04,1.5,8713.26,2722.6,4194,0,1796.66,1796.66,0,0,"organic",2018,"Sacramento"
35,2017-04-30,1.31,126586.54,41198.05,8563.75,0,76824.74,59357.39,17467.35,0,"organic",2017,"SouthCentral"
43,2017-03-05,1.55,270877.61,159001.85,39733.35,36.19,72106.22,41112.34,30993.88,0,"conventional",2017,"Orlando"
39,2015-03-29,1.85,34062.08,3489.99,17818.18,20.63,12733.28,12479.89,253.39,0,"organic",2015,"Plains"
8,2017-11-05,1.5,3425.86,3.56,64.14,0,3358.16,3358.16,0,0,"organic",2017,"Albany"
46,2016-02-07,1.07,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0,"conventional",2016,"Albany"
50,2016-01-10,0.9,264477.45,160167.42,24063.03,440.92,79806.08,67742.84,12063.24,0,"conventional",2016,"NewOrleansMobile"
38,2015-04-05,1.29,688065.45,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,"conventional",2015,"BaltimoreWashington"
2,2016-12-11,0.79,776453.82,308697.33,68324.89,12632.73,386798.87,167338.47,219187.07,273.33,"conventional",2016,"WestTexNewMexico"
0,2018-03-25,1.06,658169.39,75837.48,304991.92,14300.89,263039.1,166273.14,96427.92,338.04,"conventional",2018,"Portland"
26,2017-07-02,2.57,4270.32,4.02,473.35,0,3792.95,486.66,3306.29,0,"organic",2017,"BuffaloRochester"
25,2015-07-05,1.01,287571.95,94880.31,118022.58,15212.24,59456.82,58905.71,551.11,0,"conventional",2015,"RichmondNorfolk"
49,2015-01-18,1.29,43649.12,33738.87,1368.91,0,8541.34,8541.34,0,0,"organic",2015,"LosAngeles"
19,2016-08-14,1.48,9978.31,899.71,4522.42,0,4556.18,2277.22,2278.96,0,"organic",2016,"Nashville"
7,2016-11-06,2.57,6674.17,73.43,3159.34,2.77,3438.63,3331,107.63,0,"organic",2016,"HartfordSpringfield"
30,2017-06-04,1.38,256543.43,158511.61,25352.42,298,72381.4,53362.71,5313.69,13705,"conventional",2017,"NewOrleansMobile"
18,2016-08-21,1.34,413497.16,95074.76,197872.17,4669.14,115881.09,114415.93,30.16,1435,"conventional",2016,"NorthernNewEngland"
47,2016-01-31,0.94,203005.7,3261.74,133276.52,12917.42,53550.02,16807.25,33496.41,3246.36,"conventional",2016,"CincinnatiDayton"
49,2016-01-17,1.67,76290.32,7831.76,17800.16,1500.23,49158.17,33936.45,15221.72,0,"organic",2016,"Northeast"
14,2016-09-18,1.47,74445.93,13098.28,24958.57,0,36389.08,31194.03,5195.05,0,"organic",2016,"LosAngeles"
6,2016-11-13,1.48,268388.51,11996.05,211327.03,2651.04,42414.39,42414.39,0,0,"conventional",2016,"NorthernNewEngland"
7,2016-11-06,2.07,89099.08,5608.51,26861.46,140.68,56488.43,55962.01,526.42,0,"organic",2016,"Northeast"
27,2017-06-25,1.37,109872.63,10376.87,24717.88,0,74777.88,72884.61,1893.27,0,"organic",2017,"LosAngeles"
23,2016-07-17,1.5,9628.02,161.18,4390.15,500.26,4576.43,2761.53,1814.9,0,"organic",2016,"RichmondNorfolk"
27,2015-06-21,1.69,116908.54,51294.9,55597.45,3.09,10013.1,10009.77,3.33,0,"organic",2015,"California"
30,2016-05-29,0.8,6239677.27,3270603.2,1322066.02,347794.01,1299214.04,1034533.11,229576.24,35104.69,"conventional",2016,"SouthCentral"
16,2016-09-04,1.32,472090.23,153239.51,247684.74,4575.47,66590.51,66372.28,2.95,215.28,"conventional",2016,"Sacramento"
42,2015-03-08,1.69,2708.59,1060,15.26,0,1633.33,1633.33,0,0,"organic",2015,"MiamiFtLauderdale"
34,2015-05-03,1.41,10506.78,2617.84,6294.57,0,1594.37,1594.37,0,0,"organic",2015,"SanDiego"
9,2015-10-25,2.16,4222.62,1225.4,2724.11,0,273.11,256.67,16.44,0,"organic",2015,"LasVegas"
8,2017-11-05,1.7,103715.88,2335.02,46898.66,18583.72,35898.48,26098.52,7766.59,2033.37,"conventional",2017,"GrandRapids"
31,2016-05-22,1.22,56942.79,1810.73,32672.86,6.71,22452.49,123.33,22329.16,0,"organic",2016,"Portland"
26,2016-06-26,1.18,860170.92,80280.37,499474.39,159812.33,120603.83,115880.76,457.23,4265.84,"conventional",2016,"Chicago"
48,2017-01-29,1.44,165225.54,30958.58,65973.06,23.2,68270.7,52928.72,15341.98,0,"organic",2017,"California"
1,2015-12-20,1.83,6900.94,719.56,2853.84,522,2805.54,1195.09,1610.45,0,"organic",2015,"Philadelphia"
11,2018-01-07,1.35,465108.34,159862.75,247999,1045.98,56200.61,49386.35,522.37,6291.89,"conventional",2018,"Sacramento"
31,2015-05-24,1.86,20871.17,552.15,19632.59,0,686.43,680,6.43,0,"organic",2015,"Chicago"
51,2015-01-04,1,162162.75,113865.83,11083.58,11699.03,25514.31,19681.13,5611.51,221.67,"conventional",2015,"Nashville"
5,2018-02-18,1.31,4112725.9,371846.83,2539306.99,6573.57,1194998.51,976712.55,207823.43,10462.53,"conventional",2018,"Northeast"
4,2018-02-25,1.42,18414.33,330.05,369.57,5.01,17709.7,17706.37,3.33,0,"organic",2018,"HarrisburgScranton"
40,2017-03-26,1.09,93209.14,20638.9,24121.86,21.01,48427.37,48412.48,9.53,5.36,"conventional",2017,"Spokane"
11,2015-10-11,0.83,5236047.86,2351606.01,1833545.05,426600.81,624295.99,504922.39,119235.17,138.43,"conventional",2015,"SouthCentral"
8,2015-11-01,2.02,971.81,148.85,142.9,20.91,659.15,427.6,231.55,0,"organic",2015,"HarrisburgScranton"
10,2016-10-16,1.36,55053.59,1344.18,31561.93,21.67,22125.81,22125.81,0,0,"conventional",2016,"Syracuse"
15,2015-09-13,1.97,49376.19,3473.57,18543.59,853.19,26505.84,26318.59,187.25,0,"organic",2015,"Northeast"
12,2015-10-04,1.28,8186.26,14.4,647.58,0,7524.28,7524.28,0,0,"organic",2015,"Boston"
26,2016-06-26,1.18,333568.95,143186.79,76177.69,94.86,114109.61,68453.99,35165.62,10490,"conventional",2016,"Orlando"
48,2017-01-29,1.26,107225.04,34693.77,30342.44,1353.22,40835.61,35389.28,5446.33,0,"conventional",2017,"Pittsburgh"
50,2017-01-15,1.5,10672.07,148.64,4643.38,570.26,5309.79,4702.52,607.27,0,"organic",2017,"Charlotte"
43,2015-03-01,0.7,1031351.33,755408.34,198955.65,12551.58,64435.76,64435.76,0,0,"conventional",2015,"PhoenixTucson"
24,2017-07-16,1.48,523617.87,367930.59,65180.09,301.98,90205.21,38434.8,41978.19,9792.22,"conventional",2017,"MiamiFtLauderdale"
32,2015-05-17,0.79,5831782.44,3979432.32,1202270.23,33292.23,616787.66,528432.48,88337.6,17.58,"conventional",2015,"SouthCentral"
36,2015-04-19,1.15,504619.83,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0,"conventional",2015,"Boston"
3,2016-12-04,1.12,440990.34,24617.32,378804.18,2349.92,35218.92,35218.92,0,0,"conventional",2016,"NorthernNewEngland"
28,2017-06-18,1.92,20003.65,14.31,370.78,0,19618.56,19618.56,0,0,"organic",2017,"NorthernNewEngland"
9,2015-10-25,1.94,15727.43,2675.93,8966.26,411.18,3674.06,187,3487.06,0,"organic",2015,"NewYork"
51,2016-01-03,1.26,10777.27,4802.52,397.26,0,5577.49,5384.85,192.64,0,"organic",2016,"DallasFtWorth"
15,2015-09-13,1.16,1479334.84,20526.41,1208256.11,1030.24,249522.08,181277.74,68237.18,7.16,"conventional",2015,"NewYork"
3,2016-12-04,0.92,263904.24,1092.97,189101.7,9125.63,64583.94,61980.87,2547.12,55.95,"conventional",2016,"GrandRapids"
15,2016-09-11,1.16,26658.47,10022.44,247.44,0,16388.59,16072.8,315.79,0,"organic",2016,"DallasFtWorth"
7,2018-02-04,0.73,333398.29,108554.97,61748.67,5329.61,157765.04,117614.03,39927.3,223.71,"conventional",2018,"Columbus"
8,2017-11-05,1.6,16452.21,761.73,10819.54,0,4870.94,4870.94,0,0,"organic",2017,"SanDiego"
35,2016-04-24,0.65,79562.45,36437.8,2849.95,590.88,39683.82,39671.39,5.85,6.58,"conventional",2016,"Boise"
32,2017-05-21,1.84,3184.37,20.33,385.05,0,2778.99,2778.99,0,0,"organic",2017,"Albany"
27,2015-06-21,0.97,424580.52,133405.45,87075.84,121664.66,82434.57,70155.32,2831.82,9447.43,"conventional",2015,"Detroit"
16,2017-09-10,2.07,90178.82,5734.05,28471.55,57.34,55915.88,55915.88,0,0,"organic",2017,"NewYork"
36,2016-04-17,1.6,12342.22,0,263.91,0,12078.31,12078.31,0,0,"organic",2016,"NorthernNewEngland"
12,2016-10-02,1.03,815711.64,345171.12,206765.02,11411.45,252364.05,130376.06,121767.16,220.83,"conventional",2016,"PhoenixTucson"
30,2017-06-04,1.43,418788.68,262533.92,53444.67,15,102795.09,49481.16,51963.93,1350,"conventional",2017,"Tampa"
6,2017-11-19,2.17,12348.84,692.38,7420.01,0,4236.45,4236.45,0,0,"organic",2017,"SanDiego"
14,2015-09-20,1.17,322729.94,2413.3,270775.68,291.7,49249.26,48164.82,1084.44,0,"conventional",2015,"NorthernNewEngland"
1,2016-12-18,1.27,2966.96,257.99,57.07,2.38,2649.52,596.67,2052.85,0,"organic",2016,"Jacksonville"
36,2017-04-23,1.1,226088.3,109053.98,8877.76,75.09,108081.47,97879.1,8397.37,1805,"conventional",2017,"Nashville"
5,2018-02-18,1.44,7807.21,434.86,1521.43,0,5850.92,5850.92,0,0,"organic",2018,"Columbus"
45,2017-02-19,1.07,799071.01,153258.18,254318.67,17088.87,374405.29,150957.59,223447.7,0,"conventional",2017,"Denver"
30,2015-05-31,1.06,133856.19,57819.4,41122.46,33.05,34881.28,33050.17,1831.11,0,"conventional",2015,"Roanoke"
23,2015-07-19,1.04,5525298.95,2337242.49,2065939.21,113523.76,1008593.49,665157.51,343389.61,46.37,"conventional",2015,"West"
3,2016-12-04,1.99,5851.2,93.04,2472.52,346.29,2939.35,2603.32,336.03,0,"organic",2016,"Charlotte"
14,2015-09-20,1.87,3201.26,69.37,2727.16,345.61,59.12,26.67,32.45,0,"organic",2015,"RichmondNorfolk"
45,2017-02-19,0.86,563018.6,279494.45,52644.02,133.35,230746.78,171819.03,55459.69,3468.06,"conventional",2017,"Atlanta"
45,2016-02-14,1.18,30537.03,6478.87,3527.28,27.51,20503.37,1928.78,18574.59,0,"organic",2016,"Denver"
1,2018-03-18,1.2,17377.59,384.68,3856.94,0,13122.54,7412.71,5709.83,0,"organic",2018,"Indianapolis"
26,2017-07-02,1.78,5965.12,212.95,2696.9,0,3055.27,1472.15,1583.12,0,"organic",2017,"Roanoke"
29,2016-06-05,0.93,2330438.23,1242318.2,518978.73,10390.99,558750.31,505801.45,28530.38,24418.48,"conventional",2016,"Plains"
43,2016-02-28,1.96,32608.62,4923.95,13005.25,1706.3,12973.12,9947.04,3026.08,0,"organic",2016,"NewYork"
25,2016-07-03,1.29,525917.26,78903.78,321186.45,14095.91,111731.12,102068.55,7.57,9655,"conventional",2016,"NorthernNewEngland"
41,2016-03-13,0.79,750735.4,89366.15,223410.75,19425,418533.5,415276.73,2895.31,361.46,"conventional",2016,"Portland"
5,2018-02-18,1.5,103546.73,1973.3,19701.21,100.93,81771.29,70925.9,10845.39,0,"organic",2018,"Southeast"
22,2016-07-24,1.07,191727.48,87692.81,31317.01,255.64,72462.02,59470.62,12991.4,0,"conventional",2016,"Nashville"
44,2015-02-22,1.5,35183.3,13839.32,20645.52,83.21,615.25,0,615.25,0,"organic",2015,"Seattle"
51,2015-01-04,0.95,31324277.73,12357161.34,13624083.05,844093.32,4498940.02,3585321.58,894945.63,18672.81,"conventional",2015,"TotalUS"
12,2016-10-02,2.05,27147.49,100.4,24049.87,0,2997.22,2997.22,0,0,"organic",2016,"Chicago"
35,2017-04-30,1.66,13924.31,243.48,4877.17,0,8803.66,882.46,7921.2,0,"organic",2017,"CincinnatiDayton"
16,2017-09-10,2.89,13472.37,145.75,4564.2,137.53,8624.89,8026.52,598.37,0,"organic",2017,"RaleighGreensboro"
0,2016-12-25,1.46,46036.04,748.11,29452.82,2.26,15832.85,14866.23,966.62,0,"conventional",2016,"Syracuse"
11,2018-01-07,0.92,512142.96,164665.38,81248.88,23315.8,242912.9,195595.55,45090.53,2226.82,"conventional",2018,"Detroit"
52,2017-01-01,1.4,321941.32,12767.25,217447.76,3090.37,88635.94,83428.92,5163.19,43.83,"conventional",2017,"Philadelphia"
37,2016-04-10,1,1872378.56,886184,507777.03,19359.4,459058.13,402410.37,45353.77,11293.99,"conventional",2016,"Plains"
4,2017-12-03,1.56,654739,99971,378155,92092,84522,48070,36440,12,"conventional",2017,"Chicago"
14,2017-09-24,2.38,14971.31,130.85,4470.68,116.31,10253.47,9603.33,650.14,0,"organic",2017,"RaleighGreensboro"
17,2016-08-28,2.38,24143.51,879.59,20543.36,0,2720.56,2703.89,16.67,0,"organic",2016,"SanFrancisco"
44,2015-02-22,1.05,148164.2,101095.06,10053.42,13693.83,23321.89,20671.7,2645.2,4.99,"conventional",2015,"Nashville"
29,2016-06-05,0.94,416168.39,186493.48,103324.3,16909.95,109440.66,66829.1,37354.89,5256.67,"conventional",2016,"SouthCarolina"
24,2016-07-10,1.29,84386.24,3503.31,49140.9,13.99,31728.04,28754.71,3.33,2970,"conventional",2016,"Syracuse"
3,2017-12-10,1.14,2390308.58,48483.07,1906061.15,1561.82,434202.54,411052.38,23130.51,19.65,"conventional",2017,"NewYork"
43,2015-03-01,1.01,3633174.13,2682065.6,281502.89,19429.67,650175.97,396512.64,253660.35,2.98,"conventional",2015,"Southeast"
44,2015-02-22,1.51,673446.69,272594.88,230342.87,4883.55,165625.39,133314.63,32310.76,0,"organic",2015,"TotalUS"
16,2016-09-04,1.01,79683.06,37233.67,2055.59,7067.38,33326.42,31599.81,1718.65,7.96,"conventional",2016,"Boise"
46,2016-02-07,1.22,196570.63,23296.91,54945.8,102.18,118225.74,52341.87,65883.87,0,"organic",2016,"West"
48,2015-01-25,2.01,2865.92,776.54,621.95,450.46,1016.97,970,46.97,0,"organic",2015,"SouthCarolina"
8,2015-11-01,1.67,1713.35,334.79,94.74,0,1283.82,1280.49,3.33,0,"organic",2015,"NewOrleansMobile"
43,2017-03-05,1.84,2228.14,241,208.79,0,1778.35,1778.35,0,0,"organic",2017,"Albany"
44,2015-02-22,0.8,1116600.76,695493.39,305788.6,12580.26,102738.51,85321.83,17416.68,0,"conventional",2015,"DallasFtWorth"
22,2016-07-24,1.13,5882.29,0,287.29,0,5595,5589.25,5.75,0,"organic",2016,"NorthernNewEngland"
44,2017-02-26,2.14,4102.72,969.32,74.28,0,3059.12,1234.44,1824.68,0,"organic",2017,"Tampa"
48,2015-01-25,1.68,1201.46,3.57,740.48,0,457.41,216.67,240.74,0,"organic",2015,"Louisville"
0,2016-12-25,1.16,103804.48,27393.26,28263.18,95.33,48052.71,47522.99,529.72,0,"conventional",2016,"Roanoke"
41,2017-03-19,0.95,263837.93,2059.16,71214.46,1250.96,189313.35,33907.54,155347.45,58.36,"conventional",2017,"CincinnatiDayton"
42,2017-03-12,1.73,129820.93,1645.17,64057.69,21287.24,42830.83,26704.25,7110.17,9016.41,"conventional",2017,"GrandRapids"
3,2015-12-06,0.75,6202513.84,2097720.52,2051392.83,107568.34,1945832.15,1360760.83,582846.33,2224.99,"conventional",2015,"West"
27,2016-06-19,0.89,1153583.3,627217.28,228843.15,74763.08,222759.79,139198.33,70961.46,12600,"conventional",2016,"Houston"
12,2015-10-04,1.62,9011.35,15.66,189.08,0,8806.61,8806.61,0,0,"organic",2015,"NorthernNewEngland"
2,2018-03-11,0.89,6621293.03,3309218.1,926223.64,28752.6,2357098.69,1820819.54,472662.31,63616.84,"conventional",2018,"SouthCentral"
